"created_utc","id","value","number_of_data_points","metric_id","location_id","datetime_interval_id","forecast_horizon_minutes","id-2","name","description","id-3","start_datetime_utc","end_datetime_utc","elexon_settlement_period","is_primary","id-4","label","gsp_id","gsp_name","gsp_group","region_name","installed_capacity_mw"
"2022-09-02 13:01:20.223157+00",41467,209.0322923206817,48,1,339,5,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",5,"2022-09-01 00:00:00","2022-09-02 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-03 13:01:15.20147+00",42105,201.44342088194722,48,1,339,6,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",6,"2022-09-02 00:00:00","2022-09-03 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-04 13:01:08.303494+00",42743,179.6937416195016,48,1,339,7,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",7,"2022-09-03 00:00:00","2022-09-04 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-05 13:01:07.779383+00",43381,187.6391591542505,48,1,339,8,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",8,"2022-09-04 00:00:00","2022-09-05 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-06 15:53:15.524563+00",45058,378.3783626122397,48,1,339,9,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",9,"2022-09-05 00:00:00","2022-09-06 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-07 13:01:08.87891+00",45728,264.3387678378283,48,1,339,10,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",10,"2022-09-06 00:00:00","2022-09-07 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-08 13:01:22.426444+00",46398,201.52243167641222,48,1,339,11,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",11,"2022-09-07 00:00:00","2022-09-08 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-09 13:01:15.649653+00",47068,143.67572271888844,48,1,339,12,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",12,"2022-09-08 00:00:00","2022-09-09 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-10 13:01:07.117726+00",47738,201.19686216762932,48,1,339,13,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",13,"2022-09-09 00:00:00","2022-09-10 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-11 13:01:15.591451+00",48408,234.10407524972405,48,1,339,14,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",14,"2022-09-10 00:00:00","2022-09-11 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-12 13:01:14.981486+00",49078,207.21798886588647,48,1,339,15,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",15,"2022-09-11 00:00:00","2022-09-12 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-13 13:01:05.125408+00",49748,221.06603529843755,48,1,339,16,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",16,"2022-09-12 00:00:00","2022-09-13 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-14 13:01:20.975575+00",50418,169.75652653540507,48,1,339,17,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",17,"2022-09-13 00:00:00","2022-09-14 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-15 13:01:21.637194+00",51088,144.49626700101314,48,1,339,18,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",18,"2022-09-14 00:00:00","2022-09-15 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-16 13:01:17.087891+00",53064,161.50407739138114,48,1,339,19,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",19,"2022-09-15 00:00:00","2022-09-16 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-17 13:01:07.432263+00",54370,150.50433051513156,48,1,339,20,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",20,"2022-09-16 00:00:00","2022-09-17 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-18 13:01:07.897679+00",55676,226.57196335997673,48,1,339,21,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",21,"2022-09-17 00:00:00","2022-09-18 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-19 13:01:05.710683+00",56982,226.75198440155987,48,1,339,22,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",22,"2022-09-18 00:00:00","2022-09-19 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-20 13:01:08.115833+00",58288,139.31291064495633,48,1,339,23,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",23,"2022-09-19 00:00:00","2022-09-20 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-21 13:01:40.634401+00",58609,252.12376942020578,48,1,339,24,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",24,"2022-09-20 00:00:00","2022-09-21 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-22 13:01:29.841144+00",59915,267.48159977983244,48,1,339,25,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",25,"2022-09-21 00:00:00","2022-09-22 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-23 13:01:08.39676+00",60234,107.81694251098989,27,1,339,26,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",26,"2022-09-22 00:00:00","2022-09-23 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-24 13:01:07.420317+00",60553,164.705318892515,48,1,339,27,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",27,"2022-09-23 00:00:00","2022-09-24 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-25 13:01:38.10646+00",60872,225.9400638081909,48,1,339,28,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",28,"2022-09-24 00:00:00","2022-09-25 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-26 13:01:10.19853+00",61191,305.0171054381672,48,1,339,29,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",29,"2022-09-25 00:00:00","2022-09-26 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-27 13:01:17.302007+00",61510,223.62087297195163,48,1,339,30,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",30,"2022-09-26 00:00:00","2022-09-27 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-28 13:01:13.62735+00",61829,102.04321732764629,48,1,339,31,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",31,"2022-09-27 00:00:00","2022-09-28 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-29 13:01:15.485161+00",62148,253.7416161295148,48,1,339,32,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",32,"2022-09-28 00:00:00","2022-09-29 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-09-30 13:01:09.875395+00",62467,266.51711376446605,48,1,339,33,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",33,"2022-09-29 00:00:00","2022-09-30 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-01 13:01:07.921209+00",62786,187.98785627975747,48,1,339,34,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",34,"2022-09-30 00:00:00","2022-10-01 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-02 13:01:05.251677+00",63105,130.0856163021928,48,1,339,35,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",35,"2022-10-01 00:00:00","2022-10-02 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-03 13:01:05.687353+00",63424,170.3148086565341,48,1,339,36,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",36,"2022-10-02 00:00:00","2022-10-03 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-04 13:01:46.698961+00",63743,139.19169659765316,48,1,339,37,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",37,"2022-10-03 00:00:00","2022-10-04 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-05 13:01:05.456689+00",64062,81.57494876395104,48,1,339,38,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",38,"2022-10-04 00:00:00","2022-10-05 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-06 13:01:06.095698+00",64381,132.36858882010176,48,1,339,39,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",39,"2022-10-05 00:00:00","2022-10-06 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-07 13:01:05.370337+00",65687,163.06893323647563,48,1,339,40,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",40,"2022-10-06 00:00:00","2022-10-07 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-08 13:01:13.515179+00",66993,131.21067721020373,48,1,339,41,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",41,"2022-10-07 00:00:00","2022-10-08 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-09 13:01:07.479516+00",68299,156.68572964021914,48,1,339,42,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",42,"2022-10-08 00:00:00","2022-10-09 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-10 13:01:14.382166+00",69605,332.70817055325386,48,1,339,43,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",43,"2022-10-09 00:00:00","2022-10-10 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-11 13:01:14.05996+00",70911,178.25811093715046,48,1,339,44,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",44,"2022-10-10 00:00:00","2022-10-11 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-12 13:01:12.667611+00",72217,461.6047443166604,35,1,339,45,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",45,"2022-10-11 00:00:00","2022-10-12 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-13 13:01:06.044477+00",73523,90.68115606472118,26,1,339,46,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",46,"2022-10-12 00:00:00","2022-10-13 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-14 13:01:07.668766+00",74829,197.81208661759527,48,1,339,47,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",47,"2022-10-13 00:00:00","2022-10-14 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-15 13:01:04.137311+00",76135,109.46867526004189,48,1,339,48,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",48,"2022-10-14 00:00:00","2022-10-15 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
"2022-10-16 13:01:15.536967+00",77441,115.94865763205293,48,1,339,49,NULL,1,"Daily Latest MAE","This metric calculates the MAE for the latest OCF forecast and compares with the PVLive values. The data is from one day",49,"2022-10-15 00:00:00","2022-10-16 00:00:00",NULL,True,339,"National-GB",0,"National","National"," National",13861
